Año,Mes,Día,Temp Media,Temp Máxima,Hora Temp Max,Minuto Temp Max,Temp Mínima,Hora Temp Min,Minuto Temp Min,Viento Medio,Dirección Viento,Ráfaga de Viento,Dirección de Ráfaga,Hora Viento,Minuto Viento,Presión Media,Lluvia Diaria,Radiación Máxima,Hora Radiación Máxima,Minuto Radiación Mínima,UV Máximo,Hora UV Máximo,Minuto UV Máximo,factor_capacidad,produccion_diaria_MWh,Fecha_str,Fecha
2016,1,1,10.3,11.2,20,40,9.2,1,30,11.7,NE,29.0,NNE,6,55,1004.6,0.0,256.0,12,25,1.5,12,25,0.6,483.84000000000003,1-1-2016,2016-01-01
2016,1,2,11.8,18.1,19,30,8.6,0,55,22.0,ENE,69.2,W,15,20,996.2,0.2,798.0,13,20,4.9,13,25,0.8,645.1200000000001,2-1-2016,2016-01-02
2016,1,3,11.3,16.4,15,0,5.6,5,40,28.1,W,59.5,W,10,35,1004.3,0.0,1186.0,15,0,5.1,13,50,1.0,806.4000000000001,3-1-2016,2016-01-03
2016,1,4,12.5,18.6,15,20,6.1,2,50,29.0,WSW,67.6,WSW,17,30,1004.1,0.0,1096.0,12,55,5.0,12,55,1.0,806.4000000000001,4-1-2016,2016-01-04
2016,1,5,12.0,18.8,15,15,6.1,23,55,42.7,W,86.9,W,16,15,1005.4,0.0,1055.0,15,10,4.3,15,15,1.0,806.4000000000001,5-1-2016,2016-01-05
2016,1,6,8.8,13.7,17,0,3.8,3,30,42.2,WSW,86.9,WSW,20,35,1010.9,0.0,774.0,17,10,2.5,16,55,1.0,806.4000000000001,6-1-2016,2016-01-06
2016,1,7,11.4,16.3,12,35,4.0,23,40,46.3,W,95.0,WSW,17,45,1000.1,0.0,966.0,13,40,4.4,13,15,1.0,806.4000000000001,7-1-2016,2016-01-07
2016,1,8,9.0,16.4,16,15,2.5,6,35,21.4,WSW,59.5,W,16,25,1010.6,0.0,945.0,13,10,4.7,14,35,0.8,645.1200000000001,8-1-2016,2016-01-08
2016,1,9,11.4,17.9,12,30,5.7,1,55,37.8,W,88.5,W,19,30,1000.1,0.0,946.0,12,25,3.7,12,25,1.0,806.4000000000001,9-1-2016,2016-01-09
2016,1,10,11.4,17.3,15,25,6.1,6,0,40.3,WSW,80.5,W,12,55,997.2,0.0,850.0,13,30,4.1,13,30,1.0,806.4000000000001,10-1-2016,2016-01-10
2016,1,11,8.7,13.6,14,35,2.2,23,5,36.4,WSW,88.5,WSW,15,5,988.3,0.0,1209.0,13,40,3.8,13,20,1.0,806.4000000000001,11-1-2016,2016-01-11
2016,1,12,6.4,11.9,13,10,-0.4,5,55,26.9,WSW,61.2,WSW,18,5,997.4,0.0,1162.0,13,10,3.8,13,5,1.0,806.4000000000001,12-1-2016,2016-01-12
2016,1,13,8.3,16.3,15,50,2.1,5,40,22.9,WSW,61.2,WSW,14,45,1003.1,0.0,1036.0,15,5,3.6,15,0,0.8,645.1200000000001,13-1-2016,2016-01-13
2016,1,14,8.8,14.8,13,15,0.8,5,55,16.2,WSW,46.7,NNE,17,35,1005.6,0.0,1033.0,11,15,3.7,13,55,0.8,645.1200000000001,14-1-2016,2016-01-14
2016,1,15,10.4,18.7,16,50,0.8,5,30,15.1,WNW,32.2,WNW,2,40,1006.8,0.0,839.0,13,10,3.8,13,35,0.8,645.1200000000001,15-1-2016,2016-01-15
2016,1,16,10.7,17.4,14,15,1.8,5,10,12.5,NNE,40.2,NNW,15,5,999.3,0.0,971.0,12,50,3.7,13,5,0.6,483.84000000000003,16-1-2016,2016-01-16
2016,1,17,12.0,20.6,16,10,4.6,5,15,21.8,WSW,67.6,WSW,20,35,1003.6,0.0,969.0,13,25,4.0,13,25,0.8,645.1200000000001,17-1-2016,2016-01-17
2016,1,18,13.4,20.1,17,0,9.3,2,45,31.5,WSW,54.7,WSW,4,25,1007.1,0.0,976.0,15,20,3.4,13,50,1.0,806.4000000000001,18-1-2016,2016-01-18
2016,1,19,12.2,17.7,14,25,7.8,2,5,25.4,WSW,46.7,WSW,3,25,1009.8,0.0,856.0,14,20,3.6,14,5,1.0,806.4000000000001,19-1-2016,2016-01-19
2016,1,20,14.8,22.1,17,30,6.3,5,40,32.5,WSW,72.4,WSW,14,10,1007.7,0.0,1033.0,12,55,4.1,13,50,1.0,806.4000000000001,20-1-2016,2016-01-20
2016,1,21,13.1,15.5,17,40,10.5,23,55,24.8,W,48.3,W,1,0,1003.6,1.0,259.0,10,40,1.4,12,20,0.8,645.1200000000001,21-1-2016,2016-01-21
2016,1,22,10.5,15.8,14,30,4.8,6,45,20.7,WSW,64.4,WSW,18,15,1007.0,1.0,1044.0,13,40,4.1,13,15,0.8,645.1200000000001,22-1-2016,2016-01-22
2016,1,23,8.3,13.8,15,10,1.7,4,5,17.2,WNW,85.3,WSW,17,40,995.5,1.0,925.0,15,10,3.8,15,10,0.8,645.1200000000001,23-1-2016,2016-01-23
2016,1,24,10.4,15.6,13,45,6.1,23,30,44.4,W,83.7,W,15,10,980.9,0.2,1069.0,13,55,4.3,13,30,1.0,806.4000000000001,24-1-2016,2016-01-24
2016,1,25,9.9,16.2,16,15,4.8,3,55,39.2,W,66.0,W,8,10,994.1,0.0,982.0,16,5,4.1,13,15,1.0,806.4000000000001,25-1-2016,2016-01-25
2016,1,26,12.3,18.6,15,20,5.7,3,5,25.3,W,57.9,W,12,40,1002.1,0.0,1019.0,15,20,4.1,13,50,1.0,806.4000000000001,26-1-2016,2016-01-26
2016,1,27,13.5,20.6,16,40,8.9,7,0,16.1,NW,43.5,W,16,40,998.2,0.0,1085.0,13,50,3.9,13,20,0.8,645.1200000000001,27-1-2016,2016-01-27
2016,1,28,14.1,22.8,17,40,8.1,5,30,22.8,W,51.5,NNW,18,20,1001.5,0.0,967.0,14,5,4.0,13,55,0.8,645.1200000000001,28-1-2016,2016-01-28
2016,1,29,13.4,19.1,14,45,7.4,22,50,25.9,WSW,64.4,W,16,0,1005.9,0.8,991.0,12,45,3.8,13,25,1.0,806.4000000000001,29-1-2016,2016-01-29
2016,1,30,13.6,21.1,14,30,6.4,5,5,28.8,WNW,62.8,W,12,0,1014.6,0.0,1076.0,14,20,4.4,14,20,1.0,806.4000000000001,30-1-2016,2016-01-30
